year,province,Abbreviation,micro_cnt,medium_cnt
2029,Shanghai ,SH,25,9
2029,Sichuan ,SC,94,13
2029,Tianjin ,TJ,10,7
2029,Tibet,XZ,10,1
2029,Xinjiang,XJ,65,15
2029,Yunnan ,YN,213,16
2029,Zhejiang ,ZJ,89,17
2029,Chongqing ,CQ,61,17
2030,Anhui ,AH,264,42
2030,Beijing ,BJ,65,10
2030,Fujian ,FJ,148,22
2030,Gansu ,GS,41,10
2030,Guangdong ,GD,261,34
2030,Guangxi Zhuang,GX,127,15
2030,Guizhou ,GZ,47,10
2030,Hainan ,HI,93,6
2030,Hebei ,HE,393,34
2030,Henan ,HA,249,29
2030,Heilongjiang ,HL,34,6
2030,Hubei ,HB,96,20
2030,Hunan ,HN,124,29
2030,Jilin ,JL,43,9
2030,Jiangsu ,JS,167,52
2030,Jiangxi ,JX,48,14
2030,Liaoning ,LN,18,17
2030,Inner Mongolia,NM,27,8
2030,Ningxia,NX,15,5
2030,Qinghai ,QH,18,4
2030,Shandong ,SD,29,23
2030,Shanxi ,SX,32,18
2030,Shaanxi ,SN,52,14
2030,Shanghai ,SH,25,9
2030,Sichuan ,SC,94,13
2030,Tianjin ,TJ,10,7
2030,Tibet,XZ,10,1
2030,Xinjiang,XJ,65,15
2030,Yunnan ,YN,213,16
2030,Zhejiang ,ZJ,89,17
2030,Chongqing ,CQ,61,17
