province,year,city,city_code,capacity_tons,CN_province,CN_city_name
Fujian ,2024,Longyan City,350800,52570,福建,龙岩
Guangxi ,2024,Nanning City,450100,15300,广西,南宁
Guizhou ,2024,Tongren City,520600,6000,贵州,铜仁
Jiangxi ,2024,Yichun City (Jiangxi),360900,12000,江西,宜春
Sichuan ,2024,Zigong City,510300,30000,四川,自贡
Anhui ,2024,Chizhou City,341700,80000,安徽,池州
Jiangxi ,2024,Jiujiang City,360400,20000,江西,九江
Hunan ,2024,Changsha City,430100,4000,湖南,长沙
Jiangxi ,2024,Ganzhou City,360700,30000,江西,赣州
Hubei ,2024,Jingzhou City,421000,15000,湖北,荆州
Zhejiang ,2024,Huzhou City,330500,25000,浙江,湖州
Zhejiang ,2024,Lishui City,331100,15000,浙江,丽水
Zhejiang ,2024,Jinhua City,330700,30000,浙江,金华
Zhejiang ,2024,Hangzhou City,330100,14000,浙江,杭州
Zhejiang ,2024,Hangzhou City,330100,51320,浙江,杭州
Zhejiang ,2024,Quzhou City,330800,64680,浙江,衢州
Jiangxi ,2024,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2024,Ganzhou City,360700,40000,江西,赣州
Hubei ,2024,Jingmen City,420800,100000,湖北,荆门
Guangdong ,2024,Zhuhai City,440400,10000,广东,珠海
Henan ,2024,Luoyang City,410300,2000,河南,洛阳
Guangdong ,2024,Zhuhai City,440400,30000,广东,珠海
Hunan ,2024,Changsha City,430100,530,湖南,长沙
Hunan ,2024,Changsha City,430100,3262,湖南,长沙
Hunan ,2024,Changsha City,430100,50000,湖南,长沙
Hunan ,2024,Changsha City,430100,50000,湖南,长沙
Jiangxi ,2024,Ganzhou City,360700,13000,江西,赣州
Jiangxi ,2024,Ganzhou City,360700,20000,江西,赣州
Guangdong ,2024,Shenzhen City,440300,3000,广东,深圳
Jiangxi ,2024,Ganzhou City,360700,36000,江西,赣州
Jiangxi ,2024,Xinyu City,360500,30000,江西,新余
Jiangxi ,2024,Pingxiang City,360300,5000,江西,萍乡
Jiangxi ,2024,Shangrao City,361100,5000,江西,上饶
Jiangxi ,2024,Yichun City (Jiangxi),360900,30000,江西,宜春
Hunan ,2024,Hengyang City,430400,4416,湖南,衡阳
Hubei ,2024,Xiangyang City,420600,10000,湖北,襄阳
Guangdong ,2024,Shaoguan City,440200,3000,广东,韶关
Guizhou ,2024,Qiannan Buyi and Miao Autonomous Prefecture,522700,34000,贵州,黔南布依族苗族自治州
Anhui ,2024,Chuzhou City,341100,31000,安徽,滁州
Jiangsu ,2024,Wuxi City,320200,16000,江苏,无锡
Shaanxi ,2024,Yulin City (Shaanxi）,610800,15000,陕西,榆林
Fujian ,2024,Ningde City,350900,12000,福建,宁德
Henan ,2024,Zhengzhou City,410100,8000,河南,郑州
Gansu ,2024,Lanzhou City,620100,500,甘肃,兰州
Ningxia,2024,Yinchuan City,640100,100000,宁夏,银川
Sichuan ,2024,Suining City,510900,100000,四川,遂宁
Gansu ,2024,Jinchang City,620300,50000,甘肃,金昌
Gansu ,2024,Baiyin City,620400,800,甘肃,白银
Hubei ,2024,Jingmen City,420800,45000,湖北,荆门
Hunan ,2024,Changsha City,430100,120000,湖南,长沙
Anhui ,2024,Wuhu City,340200,500,安徽,芜湖
Anhui ,2024,Fuyang City,341200,11250,安徽,阜阳
Anhui ,2024,Fuyang City,341200,11250,安徽,阜阳
Anhui ,2024,Lu'an City,341500,12000,安徽,六安
Anhui ,2024,Lu'an City,341500,12000,安徽,六安
Fujian ,2024,Longyan City,350800,12570,福建,龙岩
Gansu ,2024,Lanzhou City,620100,5000,甘肃,兰州
Guangdong ,2024,Foshan City,440600,3000,广东,佛山
Guangxi ,2024,Qinzhou City,450700,10000,广西,钦州
Henan ,2024,Xinxiang City,410700,100000,河南,新乡
Hubei ,2024,Xiangyang City,420600,10000,湖北,襄阳
Hunan ,2024,Zhuzhou City,430200,6000,湖南,株洲
Hunan ,2024,Changsha City,430100,10000,湖南,长沙
Hunan ,2024,Hengyang City,430400,17000,湖南,衡阳
Hunan ,2024,Changde City,430700,100000,湖南,常德
Hunan ,2024,Changsha City,430100,100000,湖南,长沙
Jilin ,2024,Yanbian Korean Autonomous Prefecture,222400,60000,吉林,延边
Jiangxi ,2024,Ganzhou City,360700,25000,江西,赣州
Jiangxi ,2024,Yichun City (Jiangxi),360900,40000,江西,宜春
Jiangxi ,2024,Ganzhou City,360700,13000,江西,赣州
Jiangxi ,2024,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2024,Ganzhou City,360700,5000,江西,赣州
Jiangxi ,2024,Ganzhou City,360700,30000,江西,赣州
Jiangxi ,2024,Ganzhou City,360700,6000,江西,赣州
Jiangxi ,2024,Yichun City (Jiangxi),360900,10000,江西,宜春
Jiangxi ,2024,Shangrao City,361100,30000,江西,上饶
Shanghai,2024,Shanghai City,310000,10000,上海,上海
Yunnan ,2024,Qujing City,530300,10000,云南,曲靖
Guangdong ,2024,Foshan City,440600,120000,广东,佛山
Guangdong ,2025,Zhaoqing City,441200,78000,广东,肇庆
Guangxi ,2025,Nanning City,450100,46300,广西,南宁
Hunan ,2025,Changsha City,430100,100000,湖南,长沙
Fujian ,2025,Nanping City,350700,20000,福建,南平
Hubei ,2025,Jingmen City,420800,70000,湖北,荆门
Hunan ,2025,Hengyang City,430400,20000,湖南,衡阳
Shandong ,2025,Linyi City,371300,50000,山东,临沂
Jiangxi ,2025,Ganzhou City,360700,10000,江西,赣州
Anhui ,2025,Fuyang City,341200,20000,安徽,阜阳
Chongqing,2025,Chongqing City,500000,30000,重庆,重庆
Jiangsu ,2025,Suzhou City (Jiangsu),320500,10000,江苏,苏州
