year,province,generated_tons,formal_served_tons,informal_total_tons,informal_ton_km,recovered_tons,unrecycled_tons,scenario
2022,xinjiang,1241.75763116,0.0,1241.75763116,12417.5763116,1241.75763116,0.0,baseline_inprov
2022,yunnan,4194.52831199,0.0,4194.52831199,41945.2831199,4194.52831199,0.0,baseline_inprov
2022,zhejiang,20504.8252913,12591.0278125355,8125.883908144499,81258.839081445,20716.91172068,0.0,baseline_inprov
2023,anhui,16007.7325712,8724.214251304002,7283.5183198959985,72835.18319895999,16007.7325712,0.0,baseline_inprov
2023,beijing,27600.09425,0.0,27600.09425,276000.9425,27600.09425,0.0,baseline_inprov
2023,chongqing,7607.492127,0.0,7607.492127,76074.92127,7607.492127,0.0,baseline_inprov
2023,fujian,15695.6554995,8554.1322472275,7141.523252272499,71415.232522725,15695.6554995,0.0,baseline_inprov
2023,gansu,3760.0725863099997,2049.2395595389503,1710.8330267710498,17108.3302677105,3760.07258631,0.0,baseline_inprov
2023,guangdong,86075.84694642,46911.336585798905,39164.5103606211,391645.10360621096,86075.84694642,0.0,baseline_inprov
2023,guangxi,8437.50246579,4598.438843855551,3839.0636219344497,38390.636219344495,8437.50246579,0.0,baseline_inprov
2023,guizhou,4878.7315861,2658.9087144245004,2219.8228716754998,22198.228716754995,4878.731586100001,0.0,baseline_inprov
2023,hainan,4201.8885998900005,0.0,4201.8885998900005,42018.885998900005,4201.8885998900005,0.0,baseline_inprov
2023,hebei,14132.836307099999,0.0,14132.836307099999,141328.363071,14132.836307099999,0.0,baseline_inprov
2023,heilongjiang,6220.07647541,0.0,6220.07647541,62200.764754100004,6220.07647541,0.0,baseline_inprov
2023,henan,24590.0594813,13401.582417308502,11188.477063991499,111884.77063991498,24590.0594813,0.0,baseline_inprov
2023,hubei,18033.732853999998,9828.38440543,8205.34844857,82053.4844857,18033.732854,0.0,baseline_inprov
2023,hunan,17582.4858365,9582.4547808925,8000.0310556075,80000.310556075,17582.4858365,0.0,baseline_inprov
2023,inner mongolia,3855.51049024,0.0,3855.51049024,38555.1049024,3855.51049024,0.0,baseline_inprov
2023,jiangsu,25253.4858392,13763.149782364002,11490.336056835999,114903.36056835999,25253.485839200002,0.0,baseline_inprov
2023,jiangxi,9197.5168288,5923.2957309210005,3424.603511329,34246.035113289996,9347.899242250001,0.0,baseline_inprov
2023,jilin,3766.3329415999997,2052.651453172,1713.6814884279997,17136.81488428,3766.3329415999997,0.0,baseline_inprov
2023,liaoning,5463.5451656000005,0.0,5463.5451656000005,54635.451656000005,5463.5451656000005,0.0,baseline_inprov
2023,ningxia,1059.0477930299999,577.18104720135,481.8667458286499,4818.667458286499,1059.0477930299999,0.0,baseline_inprov
2023,qinghai,879.38736916,0.0,879.38736916,8793.8736916,879.38736916,0.0,baseline_inprov
2023,shaanxi,14756.0885138,8042.068240021,6714.020273779,67140.20273779,14756.0885138,0.0,baseline_inprov
2023,shandong,27796.179289,0.0,27796.179289,277961.79289,27796.179289,0.0,baseline_inprov
2023,shanghai,21771.35327,10000.0,11771.35327,117713.5327,21771.35327,0.0,baseline_inprov
2023,shanxi,9673.6728143,0.0,9673.6728143,96736.728143,9673.6728143,0.0,baseline_inprov
2023,sichuan,21061.2764431,11478.395661489501,9582.8807816105,95828.80781610499,21061.276443100003,0.0,baseline_inprov
2023,tianjin,12797.88555,0.0,12797.88555,127978.8555,12797.88555,0.0,baseline_inprov
2023,tibet,288.37829731,0.0,288.37829731,2883.7829730999997,288.37829731,0.0,baseline_inprov
2023,xinjiang,1937.33194675,0.0,1937.33194675,19373.3194675,1937.33194675,0.0,baseline_inprov
2023,yunnan,6024.09785007,3283.13332828815,2740.9645217818497,27409.6452178185,6024.09785007,0.0,baseline_inprov
2023,zhejiang,30012.8314159,19159.6246078955,11316.0266864645,113160.266864645,30475.651294360003,0.0,baseline_inprov
2024,anhui,19093.2745232,12315.162067464002,6778.112455736,67781.12455736,19093.2745232,0.0,baseline_inprov
2024,beijing,34807.78727,0.0,34807.78727,348077.8727,34807.78727,0.0,baseline_inprov
