year,province,capacity_tons,inbound_ton_km,outbound_ton_km,generated_tons,formal_served_tons,informal_total_tons,informal_micro_tons,informal_medium_tons,formal_share,informal_share,unrecycled_share,scenario
2024,shanxi,0.0,0.0,0.0,12651.3307668,9448.845918207,3781.917246035,1779.7257628399998,2002.191483195,0.7468657718603756,0.2989343426194831,0.0,neighbor_prov
2024,sichuan,130000.0,5005361.047639806,3254118.249534243,28062.459725750003,18100.286523108756,9962.17320264125,7803.702342068979,2158.470860572271,0.645,0.355,0.0,neighbor_prov
2024,tianjin,0.0,0.0,0.0,16040.1637,0.0,16040.1637,6683.401541666666,9356.762158333331,0.0,1.0,0.0,neighbor_prov
2024,tibet,0.0,0.0,0.0,352.16127157,227.14402016265004,125.01725140735,104.18104283945831,20.836208567891664,0.6450000000000001,0.355,0.0,neighbor_prov
2024,xinjiang,0.0,0.0,0.0,2724.81850443,1757.50793535735,967.31056907265,661.8440735760237,305.4664954966263,0.6450000000000001,0.355,0.0,neighbor_prov
2024,yunnan,10000.0,1220484.4123827033,1220484.4123827033,8562.03584083,5522.51311733535,3039.52272349465,2642.523837160655,396.99888633399513,0.645,0.355,0.0,neighbor_prov
2024,zhejiang,200000.0,3159918.9247808037,1974078.4553489797,42288.5329095,32714.3820493275,12019.2682455725,8696.868893137826,3322.3993524346747,0.7735993613053034,0.2842205065683989,0.0,neighbor_prov
2025,anhui,360000.0,1183887.1917457597,359847.5779434351,23419.9591648,12178.378765696,11241.580399104,8528.095475182345,2713.484923921655,0.5200000000000001,0.48,0.0,neighbor_prov
2025,beijing,0.0,0.0,0.0,42749.86074,22229.9275848,20519.9331552,15691.713589270585,4828.219565929411,0.52,0.48,0.0,neighbor_prov
2025,chongqing,80000.0,94826.298372,94826.298372,18235.82661,9482.6298372,8753.1967728,5620.473717271579,3132.723055528421,0.52,0.48,0.0,neighbor_prov
2025,fujian,97140.0,1753981.7982555467,1753981.7982555467,25335.4864305,13174.452943860002,12161.03348664,9374.129979285,2786.903507355,0.52,0.4799999999999999,0.0,neighbor_prov
2025,gansu,56300.0,4661448.047943718,342838.82900626847,4690.72355894,2439.1762506488,2251.5473082912,1513.335076064577,738.2122322266229,0.52,0.48,0.0,neighbor_prov
2025,guangdong,700000.0,7560160.517927595,4527044.390307684,134715.74411600002,70052.18694032,64663.55717568,51298.445054262855,13365.112121417142,0.5199999999999999,0.4799999999999999,0.0,neighbor_prov
2025,guangxi,141600.0,1650770.877123704,1650770.877123704,18068.143563,9395.43465276,8672.70891024,4336.35445512,4336.35445512,0.52,0.48,0.0,neighbor_prov
2025,guizhou,40000.0,748741.2497568991,748741.2497568991,8557.0261436,4449.6535946720005,4107.372548928,2881.2911910390444,1226.081357888955,0.52,0.4799999999999999,0.0,neighbor_prov
2025,hainan,0.0,0.0,0.0,10033.80791125,5217.58011385,4816.2277974,4265.8017634114285,550.4260339885714,0.52,0.48,0.0,neighbor_prov
2025,hebei,60000.0,9855932.26734636,3627972.410027075,29539.9546074,19813.234405848,10069.216971552,8583.95286294997,1485.26410860203,0.6707266368271475,0.3408677198518639,0.0,neighbor_prov
2025,heilongjiang,0.0,0.0,0.0,6215.50955575,3232.06496899,2983.44458676,2205.154694561739,778.2898921982608,0.52,0.48,0.0,neighbor_prov
2025,henan,140000.0,2066978.1254715691,2066978.1254715691,42108.1542857,21896.240228564,20211.914057136,16393.37654797024,3818.537509165759,0.52,0.48,0.0,neighbor_prov
2025,hubei,320000.0,615477.6867220406,615477.6867220406,26452.2737215,13755.18233518,12697.09138632,8962.652743284707,3734.4386430352943,0.5199999999999999,0.48,0.0,neighbor_prov
2025,hunan,847208.0,357247.30759725044,357247.30759725044,27378.4885813,14236.814062276,13141.674519024,8953.668353620747,4188.006165403252,0.52,0.48,0.0,neighbor_prov
2025,inner mongolia,25000.0,1065908.464126282,1065908.464126282,5567.04469167,2894.8632396684,2672.1814520016,1677.881376838214,994.300075163386,0.52,0.48,0.0,neighbor_prov
2025,jiangsu,34000.0,5445957.509981543,4886645.75184174,49432.201251,25704.74465052,23727.45660048,14621.71679808177,9105.73980239823,0.52,0.48,0.0,neighbor_prov
2025,jiangxi,746000.0,633150.2028471322,633150.2028471322,14277.7943616,8595.55612396,5772.323088096,3645.677739850105,2126.645348245894,0.6020226868568489,0.4042867505936779,0.0,neighbor_prov
